% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2023
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2023 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2023, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
198312	 -0.03358922	  0.01466676	  0.05002490	
198401	 -0.02518414	 -0.00573629	  0.06525340	
198402	 -0.04222727	 -0.02766207	  0.00521760	
198403	 -0.00982163	  0.03045695	  0.00941229	
198404	 -0.08444471	 -0.04802803	  0.00409888	
198405	  0.00682982	  0.04569338	  0.02360299	
198406	 -0.01601648	  0.02388718	 -0.00288699	
198407	 -0.02663180	  0.01173315	  0.02081929	
198408	  0.00187372	  0.03260926	 -0.03492146	
198409	 -0.01898864	  0.01081240	  0.02426426	
198410	 -0.02988708	 -0.01096272	 -0.00664306	
198411	 -0.00231840	  0.00636493	  0.01563082	
198412	 -0.03602564	 -0.00302722	 -0.00023396	
198501	 -0.00841324	  0.01682558	 -0.01660344	
198502	 -0.01040315	  0.00592210	  0.02277367	
198503	  0.00593392	  0.00404789	  0.03882319	
198504	  0.01006849	  0.03066178	  0.03804409	
198505	  0.00000677	  0.02316535	 -0.00808688	
198506	 -0.00496640	 -0.00186577	  0.00855668	
198507	 -0.02202200	  0.02394855	 -0.01828073	
198508	  0.02641898	  0.03257513	  0.02600935	
198509	 -0.01917228	 -0.00813959	  0.01085101	
198510	 -0.01874444	 -0.01382708	  0.05068405	
198511	 -0.00196966	  0.02732004	  0.00714591	
198512	 -0.01579079	  0.02385605	 -0.01941905	
198601	 -0.06592515	 -0.03695994	  0.01882153	
198602	 -0.00938448	  0.01985321	  0.00280428	
198603	  0.00792626	  0.04381365	  0.03946652	
198604	  0.02937072	  0.02414239	 -0.00513904	
198605	  0.00463582	  0.02012562	  0.02732007	
198606	 -0.06956802	 -0.06340986	  0.05863968	
198607	 -0.00237977	  0.01935357	 -0.01490146	
198608	 -0.02734166	  0.01199190	 -0.02610917	
198609	 -0.00466824	 -0.02430844	  0.04365573	
198610	  0.03939260	  0.06351213	  0.01596314	
198611	  0.01677837	  0.02265068	 -0.03037115	
198612	  0.01118096	  0.03382984	 -0.01180831	
198701	 -0.02911501	 -0.00907220	 -0.07334350	
198702	  0.00529227	  0.02573911	 -0.04018167	
198703	 -0.02361702	  0.01696482	 -0.01323575	
198704	 -0.12662749	 -0.10929728	 -0.03988962	
198705	  0.00544621	  0.03087577	  0.01258425	
198706	  0.00750473	  0.05582145	  0.02582911	
198707	  0.01877447	 -0.02525317	  0.00803324	
198708	 -0.00003515	  0.01422681	 -0.05904169	
198709	 -0.04182135	 -0.05456071	  0.00162348	
198710	 -0.46169773	 -0.39175222	  0.05431057	
198711	 -0.02515845	 -0.07477846	 -0.01692999	
198712	 -0.10552480	 -0.03125825	  0.00835925	
198801	 -0.11083843	 -0.07654611	  0.04415469	
198802	 -0.03348581	  0.06078589	  0.00330430	
198803	 -0.03029858	  0.02449604	 -0.01998427	
198804	  0.00880543	  0.02862009	 -0.02541647	
198805	 -0.06855347	 -0.00120625	 -0.00520483	
198806	  0.00688993	  0.01882509	 -0.00962875	
198807	  0.01712411	  0.03251667	 -0.00893175	
198808	 -0.02484266	  0.02753058	  0.03565788	
198809	 -0.02317842	  0.00119786	  0.01488299	
198810	 -0.04267395	  0.00320596	  0.02375891	
198811	 -0.06681857	 -0.00960977	 -0.00070705	
198812	 -0.02431808	  0.00132203	 -0.04442614	
198901	  0.01842500	  0.07424037	 -0.00066201	
198902	 -0.00261030	  0.01229208	 -0.00370499	
198903	  0.00049190	  0.00791288	 -0.01005239	
198904	 -0.02148396	 -0.00279834	 -0.01942944	
198905	  0.04337706	  0.04856399	 -0.03793897	
198906	 -0.00150094	  0.00150777	  0.07322710	
198907	  0.01777991	  0.02614331	  0.03174884	
198908	 -0.08467239	 -0.05291716	  0.00711113	
198909	  0.02786316	  0.01576850	 -0.04838182	
198910	 -0.15749531	 -0.11291170	  0.02414736	
198911	 -0.00979964	  0.01588073	 -0.02475016	
198912	 -0.02131812	  0.00712070	  0.01943802	
199001	 -0.02371547	 -0.00544608	 -0.03403647	
199002	 -0.00493618	  0.02575118	 -0.02993156	
199003	 -0.02227970	  0.03518797	 -0.02618451	
199004	  0.00903327	  0.00801225	  0.05838816	
199005	  0.01200611	  0.01178209	 -0.00653357	
199006	  0.00178264	 -0.00273487	  0.02597323	
199007	 -0.02635311	 -0.01504209	  0.05079944	
199008	  0.02512102	  0.00414275	  0.04516347	
199009	 -0.01568082	  0.05869395	  0.01963880	
199010	  0.05201194	  0.04854451	 -0.01307316	
199011	  0.02180100	  0.00861073	 -0.01186456	
199012	 -0.05574597	 -0.02811547	 -0.03435371	
199101	  0.03895971	  0.02270089	 -0.09480416	
199102	 -0.02117548	 -0.03732204	 -0.01976099	
199103	 -0.02611774	 -0.02377652	 -0.00719494	
199104	  0.00646525	  0.04416643	  0.01658207	
199105	 -0.00602298	  0.00007592	 -0.01043347	
199106	  0.04170756	  0.05037247	  0.02998807	
199107	 -0.00135326	  0.00391129	  0.01557791	
199108	 -0.01695233	 -0.01974360	 -0.01699254	
199109	 -0.01442521	  0.01701503	  0.01170763	
199110	 -0.02169450	  0.02009200	  0.02183811	
199111	  0.02615505	 -0.00291796	  0.04312706	
199112	 -0.05322488	 -0.07201283	 -0.04932854	
199201	 -0.06539798	 -0.04112037	 -0.07748136	
199202	 -0.03882487	  0.01128484	 -0.04885885	
199203	 -0.03465568	  0.02084313	 -0.00085337	
199204	  0.03518324	  0.04506280	 -0.00461487	
199205	  0.00132677	  0.05139024	 -0.00157019	
199206	  0.06758642	  0.00860779	  0.01939018	
199207	 -0.05001814	 -0.04937021	  0.02428208	
199208	 -0.00621343	 -0.00083423	  0.04932559	
199209	  0.01457686	  0.03290214	 -0.02176638	
199210	 -0.05938540	 -0.05333576	 -0.01951491	
199211	  0.00064767	  0.03252701	 -0.05071980	
199212	  0.00997473	  0.02307954	 -0.03053146	
199301	  0.01066849	  0.04155524	 -0.00898190	
199302	 -0.03033735	 -0.00962514	  0.06623622	
199303	 -0.03524115	 -0.00647735	 -0.03846259	
199304	  0.00905305	  0.03753330	 -0.01728532	
199305	 -0.01625729	  0.00947312	  0.04146819	
199306	 -0.01856489	  0.00998255	 -0.03527159	
199307	 -0.01795869	  0.00903379	 -0.01283928	
